ID,Name,Address,Latitude,Longitude,Opening Hours,Types,Rating,User Ratings Total,Stay Time,Delay Time,Cost,Period
ChIJ2beCscEZQjER1eMQXxVlJZg,Mì Quảng Giao Thủy,"20 Lê Thanh Nghị, Hoà Cường Bắc, Hải Châu, Đà Nẵng 550000, Vietnam",160.436.901,1.082.173.205,"['Monday: 6:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 6:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 6:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 6:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 6:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 6:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 6:00\u202fAM\u2009–\u20099:00\u202fPM']","['restaurant', 'food']",4,103,45,30,70,"['Morning', 'Noon', 'Afternoon', 'Evening']"
ChIJ2dQQiA72QTERnSn0QjUDJiw,Toc Tien Waterfall station,"22GJ+QCF, Hòa Ninh, Hòa Vang, Da Nang, Vietnam",1.602.693,1.080.310.383,,['amusement_park'],4.4,72,30,30,0,"['Morning', 'Noon', 'Afternoon', 'Evening']"
ChIJ2eEwIrEZQjERmUcku_xN6pw,My Quang Ba Mua,"95A Nguyễn Tri Phương, Thạc Gián, Thanh Khê, Đà Nẵng 550000, Vietnam",160.565.752,108.208.438,"['Monday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 7:00\u202fAM\u2009–\u200910:00\u202fPM']","['restaurant', 'store', 'food']",3.9,1340,45,30,50,"['Morning', 'Noon', 'Afternoon', 'Evening']"
ChIJ2y5L4dQNQjERxeSLc68fbrw,The Marble Mountains,"81 Huyền Trân Công Chúa, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam",160.034.756,1.082.645.803,"['Monday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 7:00\u202fAM\u2009–\u20095:00\u202fPM']",['tourist_attraction'],4.3,20715,60,60,200,"['Morning', 'Noon', 'Afternoon', 'Evening']"
ChIJ3S-Eo0sYQjERo9MhApUI4WQ,Nhà thờ Chính Trạch,"68 Hoàng Hoa Thám, Vĩnh Trung, Thanh Khê, Đà Nẵng 550000, Vietnam",160.683.525,1.082.097.883,,"['church', 'place_of_worship']",4.7,35,30,30,0,"['Morning', 'Noon', 'Afternoon', 'Evening']"
ChIJ3cVClWEZQjER_gdKDyG2Q30,Da Nang Love Bridge,"367H+8R9, Đ. Trần Hưng Đạo, An Hải, Sơn Trà, Đà Nẵng 550000, Vietnam",160.632.799,1.082.296.041,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",['tourist_attraction'],4.5,1867,30,30,50,"['Morning', 'Noon', 'Afternoon', 'Evening']"
ChIJ4QBQgowZQjERs200POAfAZs,Tượng Cá Chép Hóa Rồng,"Đ. Trần Hưng Đạo, An Hải, Sơn Trà, Đà Nẵng 550000, Vietnam",1.606.291,108.229.815,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",['tourist_attraction'],4.6,155,30,15,0,"['Morning', 'Noon', 'Afternoon', 'Evening']"
ChIJ4TzoziwYQjER8Wp_tOG1pYA,DHC Marina,"367H+PW4, Đ. Trần Hưng Đạo, An Hải Trung, Sơn Trà, Đà Nẵng 550000, Vietnam",160.642.548,1.082.298.186,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",['tourist_attraction'],4.1,171,60,45,300,"['Morning', 'Noon', 'Afternoon', 'Evening']"
ChIJ4ZJeS8oZQjERzAlK2SZaZaA,Highlands Coffee,"115 Nguyễn Văn Linh, Nam Dương, Hải Châu, Đà Nẵng 550000, Vietnam",160.602.485,1.082.167.535,"['Monday: 7:00\u202fAM\u2009–\u200911:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u200911:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u200911:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 7:00\u202fAM\u2009–\u200911:00\u202fPM']","['cafe', 'food', 'store']",4.3,1145,30,15,50,"['Morning', 'Noon', 'Afternoon', 'Evening']"
ChIJ4w7694IXQjERrFXucqKL--o,My Khe Beach,"My Khe Beach, 550000, Vietnam",160.616.944,1.082.469.346,,['natural_feature'],4.6,1831,60,45,50,"['Morning', 'Noon', 'Afternoon', 'Evening']"
ChIJ55XNve4ZQjER6lc9AhDe7xs,Cafe Thien Anh,"48 Tố Hữu, Hoà Cường Nam, Hải Châu, Đà Nẵng 550000, Vietnam",160.347.221,1.082.207.593,"['Monday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 6:00\u202fAM\u2009–\u200910:00\u202fPM']","['cafe', 'store', 'food']",3.9,103,30,30,50,"['Morning', 'Noon', 'Afternoon', 'Evening']"
ChIJ56wbz1MYQjERv2W5jE22TC4,Hội Thánh Tin Lành - Chi Hội Trần Cao Vân,"35CX+8F7, K 291 Trần Cao Vân, Xuân Hà, Thanh Khê, Đà Nẵng 550000, Vietnam",160.707.885,1.081.986.865,,"['church', 'place_of_worship']",4.8,6,30,30,0,"['Morning', 'Noon', 'Afternoon', 'Evening']"
ChIJ66u6LPn1QTERJXEgCVcahJM,Quán Thắng Thỏ,"Unnamed Road, 325W+7FF, Hoà Ninh, Hòa Vang, Đà Nẵng, Vietnam",160.581.825,1.080.461.765,"['Monday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20095:00\u202fPM']","['restaurant', 'food']",5,4,60,45,250,"['Morning', 'Noon', 'Afternoon', 'Evening']"
ChIJ6SbLpjQYQjER5qEkmTLPcuY,Cơm gà A.Hải,"94, 100 Thái Phiên, Phước Ninh, Hải Châu, Đà Nẵng 550000, Vietnam",160.653.555,1.082.198.541,"['Monday: 8:00\u202fAM\u2009–\u200911:30\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u200911:30\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u200911:30\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u200911:30\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u200911:30\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u200911:30\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u200911:30\u202fPM']","['restaurant', 'food']",4,1546,45,30,100,"['Morning', 'Noon', 'Afternoon', 'Evening']"
ChIJ6XD02FMZQjERzT9uC9hB_oY,Quảng trường 2/9,"26RF+F35, Hòa Cường, Hải Châu District, Da Nang, Vietnam",160.411.297,1.082.227.389,,['tourist_attraction'],4.5,26,30,30,0,['Evening']
ChIJ6ehhkPwXQjERno-Q6jeVpKA,Đồng Tiến Bakery,"56 Nguyễn Phan Vinh, Thọ Quang, Sơn Trà, Đà Nẵng 550000, Vietnam",16.100.609,108.250.629,"['Monday: 5:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 5:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 5:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 5:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 5:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 5:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 5:00\u202fAM\u2009–\u200910:00\u202fPM']","['bakery', 'food', 'store']",4.2,89,15,15,50,"['Morning', 'Noon', 'Afternoon', 'Evening']"
ChIJ75pYOI8ZQjEReb8Mw6ThCZQ,Nhà Thờ Con Gà,"156 Đ. Trần Phú, Hải Châu 1, Hải Châu, Đà Nẵng 550000, Vietnam",160.666.864,1.082.232.191,"['Monday: 7:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: 7:00\u202fAM\u2009–\u20096:00\u202fPM']",['tourist_attraction'],4.6,382,30,30,0,"['Morning', 'Noon', 'Afternoon', 'Evening']"
ChIJ78thjjYYQjERkiy-c9ebVPE,Danang Fine Arts Museum,"78 Đ. Lê Duẩn, Thạch Thang, Hải Châu, Đà Nẵng 550000, Vietnam",160.712.986,1.082.177.249,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u20095:00\u202fPM']","['tourist_attraction', 'museum']",4.4,621,60,30,20,"['Morning', 'Noon', 'Afternoon']"
ChIJ7WTP810XQjERzwImZ7JJx9Y,Upside down house,"44 Hồ Xuân Hương, Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng, Vietnam",160.388.189,1.082.448.648,"['Monday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20097:00\u202fPM']",['tourist_attraction'],3.7,58,45,30,150,"['Morning', 'Noon', 'Afternoon']"
ChIJ82_sTbkQQjERQ5jmVkoovic,Bảo Tàng Văn Hóa Phật Giáo,"48 Sư Vạn Hạnh, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam",159.989.293,1.082.547.934,"['Monday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u20096:00\u202fPM']","['museum', 'tourist_attraction']",4.8,8,45,30,0,"['Morning', 'Noon', 'Afternoon']"
ChIJ838MA1MYQjERCAhmtwDDQPE,Quán Lẩu Nướng Hàn Quốc,"43 Thái Thị Bôi, Chính Gián, Thanh Khê, Đà Nẵng 550000, Vietnam",16.068.092,1.081.984.046,"['Monday: 6:00\u202fAM\u2009–\u200910:30\u202fPM', 'Tuesday: 6:00\u202fAM\u2009–\u200910:30\u202fPM', 'Wednesday: 6:00\u202fAM\u2009–\u200910:30\u202fPM', 'Thursday: 6:00\u202fAM\u2009–\u200910:30\u202fPM', 'Friday: 6:00\u202fAM\u2009–\u200910:30\u202fPM', 'Saturday: 6:00\u202fAM\u2009–\u200910:30\u202fPM', 'Sunday: 6:00\u202fAM\u2009–\u200910:30\u202fPM']","['restaurant', 'food']",4.8,10,45,30,150,"['Morning', 'Noon', 'Afternoon', 'Evening']"
ChIJ86LzsaUhQjERGxE6itCeBCY,Suoi Luong,"Suối Lương, Hoà Hiệp Bắc, Liên Chiểu, Đà Nẵng, Vietnam",161.566.197,1.081.093.217,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u20095:00\u202fPM']",['tourist_attraction'],4,1161,60,30,100,"['Morning', 'Noon', 'Afternoon', 'Evening']"
ChIJ8V9rgAYZQjERJ5brvNEXowo,Quán Cafe Duyên,"370, Đường Hà Huy Tập, Phường Hòa Khê, Quận Thanh Khê, 370 Hà Huy Tập, Hòa Khê, Thanh Khê, Đà Nẵng 550000, Vietnam",160.586.407,1.081.841.947,"['Monday: 6:30\u202fAM\u2009–\u20099:30\u202fPM', 'Tuesday: 6:30\u202fAM\u2009–\u20099:30\u202fPM', 'Wednesday: 6:30\u202fAM\u2009–\u20099:30\u202fPM', 'Thursday: 6:30\u202fAM\u2009–\u20099:30\u202fPM', 'Friday: 6:30\u202fAM\u2009–\u20099:30\u202fPM', 'Saturday: 6:30\u202fAM\u2009–\u20099:30\u202fPM', 'Sunday: 6:30\u202fAM\u2009–\u20099:30\u202fPM']","['cafe', 'food']",3.3,6,45,30,50,"['Morning', 'Noon', 'Afternoon', 'Evening']"
ChIJ8aH6wzIYQjERdvTbsq3TFyk,Event Cafe,"36 Thái Phiên, Phước Ninh, Hải Châu, Đà Nẵng 550000, Vietnam",16.065.148,1.082.227.303,,"['cafe', 'food']",4.3,4,45,30,100,"['Morning', 'Noon', 'Afternoon', 'Evening']"
ChIJ8d8aMDQYQjERLmXv-i1pIEs,T-CE,"45 Ng. Gia Tự, Hải Châu 1, Hải Châu, Đà Nẵng 550000, Vietnam",160.692.736,1.082.176.809,"['Monday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 7:00\u202fAM\u2009–\u200910:00\u202fPM']","['restaurant', 'food']",3.9,28,45,30,50,"['Morning', 'Noon', 'Afternoon', 'Evening']"
ChIJ9TxPHgEZQjERS_PpJVVf9n8,Cafe Ghita,"3634+M6J, Thi Sách, Hòa Thuận Nam, Hải Châu, Đà Nẵng 550000, Vietnam",160.542.132,108.205.514,,"['cafe', 'food']",5,2,45,30,50,"['Morning', 'Noon', 'Afternoon', 'Evening']"
ChIJ9fqsdOcZQjERZcIMEHw3HtY,Sun Wheel,"1 Phan Đăng Lưu, Hoà Cường Bắc, Hải Châu, Đà Nẵng, Vietnam",160.404.534,1.082.283.843,"['Monday: 3:00\u2009–\u20099:00\u202fPM', 'Tuesday: 3:00\u2009–\u20099:00\u202fPM', 'Wednesday: 3:00\u2009–\u20099:00\u202fPM', 'Thursday: 3:00\u2009–\u20099:00\u202fPM', 'Friday: 3:00\u2009–\u200910:00\u202fPM', 'Saturday: 3:00\u2009–\u200910:00\u202fPM', 'Sunday: 3:00\u2009–\u200910:00\u202fPM']",['tourist_attraction'],4.5,4171,60,30,500,"['Morning', 'Noon', 'Afternoon', 'Evening']"
ChIJA5o7mlIYQjERspQMjC1oYhM,Quán Cơm Gà Trung Thủy,"116 Lê Độ, Chính Gián, Thanh Khê, Đà Nẵng 550000, Vietnam",160.675.491,1.082.014.553,,"['restaurant', 'food']",5,1,45,30,50,"['Morning', 'Noon', 'Afternoon', 'Evening']"
ChIJAQCw3AMZQjERg81Zx6Ys8qM,My's Coffee,"357M+848, Hồ Tương, Thanh Khê Đông, Thanh Khê, Đà Nẵng 550000, Vietnam",160.632.781,1.081.828.231,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","['cafe', 'food']",4,141,30,30,50,"['Morning', 'Noon', 'Afternoon', 'Evening']"
ChIJASjStc0ZQjERf8hQfCEJ8JA,An Long Temple,"4 Đ. 2 Tháng 9, Bình Hiên, Hải Châu, Đà Nẵng 550000, Vietnam",160.597.945,108.223.266,,"['tourist_attraction', 'place_of_worship']",4.4,69,45,30,0,"['Morning', 'Noon', 'Afternoon', 'Evening']"
ChIJAYkYfLEZQjEReED6J_FH7yg,cơm niêu Hồng Phúc (Nguyễn Tri Phương),"164, 166 Nguyễn Tri Phương, Thạc Gián, Thanh Khê, Đà Nẵng 550000, Vietnam",160.598.851,1.082.053.559,"['Monday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20099:00\u202fPM']","['restaurant', 'food']",3.7,973,45,30,50,"['Morning', 'Noon', 'Afternoon', 'Evening']"
ChIJAxQgHbQZQjERth3000kYD2g,Dasushi,"266, 268 Nguyễn Văn Linh, Thạc Gián, Thanh Khê, Đà Nẵng 550000, Vietnam",160.598.177,1.082.090.174,"['Monday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u200910:00\u202fPM']","['restaurant', 'food']",3.9,263,60,30,300,"['Morning', 'Noon', 'Afternoon', 'Evening']"
ChIJB1IxSU0YQjERJb8Y-peEnZY,Highlands Coffee,"46 Điện Biên Phủ, Chính Gián, Thanh Khê, Đà Nẵng 550000, Vietnam",160.661.567,1.082.033.345,"['Monday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 7:00\u202fAM\u2009–\u200910:00\u202fPM']","['cafe', 'store', 'food']",4.2,649,30,30,50,"['Morning', 'Noon', 'Afternoon', 'Evening']"
ChIJB4j_jLQZQjERtOioQZ3aHBQ,Đặc Sản Đà Nẵng - Bún Đậu Mắm Tôm Năm Hiền,"48 Phan Thanh, Thạc Gián, Thanh Khê, Đà Nẵng 550000, Vietnam",160.646.037,1.082.081.321,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","['grocery_or_supermarket', 'store', 'restaurant', 'food']",4.4,13,45,30,100,"['Morning', 'Noon', 'Afternoon', 'Evening']"
ChIJB7NiEoP2QTERm1eL-dZuTKY,Giếng Trời,"Hòa Ninh, Hòa Vang, Da Nang, Vietnam",160.347.599,1.079.909.156,"['Monday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20095:00\u202fPM']",['tourist_attraction'],4.3,83,45,30,50,"['Morning', 'Noon', 'Afternoon']"
ChIJBQHuNG49QjER7Mb_Y2I64mk,Ban Co Peak,"Bàn cờ, Thọ Quang, Sơn Trà, Đà Nẵng, Vietnam",161.189.365,1.082.719.826,"['Monday: 7:30\u202fAM\u2009–\u20095:30\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u20095:30\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u20095:30\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20095:30\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20095:30\u202fPM', 'Saturday: 7:30\u202fAM\u2009–\u20095:30\u202fPM', 'Sunday: 7:30\u202fAM\u2009–\u20095:30\u202fPM']",['tourist_attraction'],4.6,2939,30,30,0,"['Morning', 'Noon', 'Afternoon']"
